frame,state,boot_x,boot_y,cart_x,target,direction,loop_ms
385,PLAYING,786,598,813,786,-1,2.5
386,PLAYING,786,594,809,786,-1,1.9
387,PLAYING,786,590,803,786,-1,2.1
388,PLAYING,784,586,799,784,-1,2.0
389,PLAYING,784,580,793,784,-1,2.9
390,PLAYING,775,588,789,775,-1,3.2
391,PLAYING,773,584,783,773,-1,3.4
392,PLAYING,773,580,777,773,0,3.4
393,PLAYING,771,574,771,771,0,1.9
394,PLAYING,771,570,767,771,0,2.6
395,PLAYING,812,592,763,812,1,3.0
396,PLAYING,812,596,761,812,1,1.9
397,PLAYING,810,602,761,810,1,2.4
398,PLAYING,810,606,763,810,1,2.1
399,PLAYING,810,610,765,810,1,2.3
400,PLAYING,796,625,769,796,1,2.5
401,PLAYING,796,631,773,796,1,2.3
402,PLAYING,794,635,777,794,1,2.1
403,PLAYING,794,639,781,794,1,2.2
404,PLAYING,794,643,787,794,0,2.4
405,PLAYING,772,645,791,772,-1,2.2
406,PLAYING,772,649,796,772,-1,3.0
407,PLAYING,772,655,795,772,-1,2.1
408,PLAYING,770,659,793,770,-1,2.6
409,PLAYING,770,663,791,770,-1,2.8
410,PLAYING,757,655,787,757,-1,2.0
411,PLAYING,757,659,783,757,-1,1.9
412,PLAYING,757,665,779,757,-1,2.4
413,PLAYING,755,669,773,755,-1,2.9
414,PLAYING,755,673,769,755,-1,2.0
415,PLAYING,754,660,765,754,-1,2.0
416,PLAYING,752,664,761,752,-1,2.2
417,PLAYING,752,670,755,752,0,2.4
418,PLAYING,752,674,749,752,0,2.8
419,PLAYING,750,678,745,750,0,2.9
420,PLAYING,769,666,743,769,1,2.3
421,PLAYING,767,672,739,767,1,2.0
422,PLAYING,767,676,739,767,1,2.1
423,PLAYING,767,680,741,767,1,2.0
424,PLAYING,765,684,743,765,1,2.9
425,PLAYING,781,692,747,781,1,2.2
426,PLAYING,781,696,751,781,1,2.4
427,PLAYING,779,700,755,779,1,2.2
428,PLAYING,779,704,759,779,1,1.9
429,PLAYING,777,710,763,777,1,3.5
430,PLAYING,786,726,767,786,1,2.3
431,PLAYING,786,730,771,786,1,2.7
432,PLAYING,784,734,775,784,1,3.2
433,PLAYING,784,740,779,784,0,2.8
434,PLAYING,784,744,785,784,0,1.9
435,PLAYING,782,770,790,782,0,2.6
436,PLAYING,782,774,792,782,-1,2.8
437,PLAYING,780,778,794,780,-1,2.2
438,PLAYING,780,784,793,780,-1,2.2
439,PLAYING,780,788,791,780,-1,2.0
440,PLAYING,766,803,789,766,-1,2.0
441,PLAYING,766,807,785,766,-1,2.8
442,PLAYING,766,811,781,766,-1,1.9
443,PLAYING,764,817,777,764,-1,3.2
444,PLAYING,764,821,775,764,-1,2.0
445,PLAYING,742,823,769,742,-1,2.0
446,PLAYING,742,827,767,742,-1,2.0
447,PLAYING,742,831,763,742,-1,2.7
448,PLAYING,740,837,757,740,-1,2.7
449,PLAYING,740,841,753,740,-1,2.0
450,PLAYING,729,833,749,729,-1,2.2
451,PLAYING,727,836,745,727,-1,2.6
452,PLAYING,726,839,739,726,-1,1.8
453,PLAYING,723,842,733,723,-1,2.2
454,PLAYING,722,844,729,722,0,3.0
455,PLAYING,724,836,723,724,0,1.9
456,PLAYING,722,839,719,722,0,2.0
457,PLAYING,724,842,714,724,1,3.6
458,PLAYING,726,844,712,726,1,2.1
459,PLAYING,761,844,718,761,1,2.5
460,PLAYING,748,834,716,748,1,2.8
461,PLAYING,748,828,722,748,1,2.3
462,PLAYING,746,824,724,746,1,1.9
463,PLAYING,746,820,728,746,1,1.9
464,PLAYING,746,816,733,746,1,2.8
465,PLAYING,728,812,737,728,-1,3.5
466,PLAYING,728,808,741,728,-1,2.6
467,PLAYING,726,804,740,726,-1,2.1
468,PLAYING,726,800,738,726,-1,2.5
469,PLAYING,726,794,736,726,-1,2.5
470,PLAYING,715,802,732,715,-1,1.9
471,PLAYING,715,798,730,715,-1,1.9
472,PLAYING,715,794,726,715,-1,2.4
473,PLAYING,713,790,723,713,-1,2.3
474,PLAYING,713,784,719,713,0,2.5
475,PLAYING,711,802,717,711,0,2.0
476,PLAYING,711,798,717,711,0,2.5
477,PLAYING,711,794,717,711,0,2.2
478,PLAYING,709,790,715,709,0,2.0
479,PLAYING,709,784,715,709,0,4.7
480,PLAYING,721,791,715,721,0,2.1
481,PLAYING,719,787,715,719,0,3.3
482,PLAYING,719,783,715,719,0,2.3
483,PLAYING,717,777,715,717,0,2.2
484,PLAYING,717,773,715,717,0,2.0
485,PLAYING,737,767,715,737,1,2.6
486,PLAYING,735,763,715,735,1,2.0
487,PLAYING,735,757,714,735,1,2.6
488,PLAYING,735,753,713,735,1,2.3
489,PLAYING,733,749,717,733,1,2.1
490,PLAYING,744,733,718,744,1,3.9
491,PLAYING,742,727,722,742,1,3.1
492,PLAYING,742,723,727,742,1,2.1
493,PLAYING,742,719,733,742,1,4.2
494,PLAYING,740,715,737,740,0,2.6
495,PLAYING,741,692,741,741,0,3.2
496,PLAYING,741,688,744,741,0,2.1
497,PLAYING,739,684,749,739,-1,2.3
498,PLAYING,739,680,752,739,-1,2.0
499,PLAYING,737,674,747,737,-1,2.1
500,PLAYING,718,654,749,718,-1,1.9
501,PLAYING,718,650,745,718,-1,2.7
502,PLAYING,716,646,743,716,-1,2.3
503,PLAYING,716,640,739,716,-1,3.1
504,PLAYING,716,636,735,716,-1,2.6
505,PLAYING,698,634,731,698,-1,2.0
506,PLAYING,727,634,726,727,0,2.8
507,PLAYING,724,637,723,724,0,4.6
508,PLAYING,680,624,719,680,-1,2.9
509,PLAYING,724,647,717,724,0,2.4
510,PLAYING,727,660,715,727,1,2.3
511,PLAYING,726,664,713,726,1,2.0
512,PLAYING,726,670,713,726,1,1.9
513,PLAYING,724,674,715,724,1,3.3
514,PLAYING,724,678,717,724,0,2.6
515,PLAYING,722,704,721,722,0,1.9
516,PLAYING,722,708,724,722,0,2.1
517,PLAYING,722,714,726,722,0,2.0
518,PLAYING,720,718,726,720,0,2.9
519,PLAYING,720,722,726,720,0,3.3
520,PLAYING,708,737,726,708,-1,2.8
521,PLAYING,706,743,726,706,-1,2.2
522,PLAYING,706,747,725,706,-1,3.2
523,PLAYING,704,751,723,704,-1,1.9
524,PLAYING,704,755,721,704,-1,1.9
525,PLAYING,684,759,717,684,-1,2.5
526,PLAYING,682,763,713,682,-1,3.2
527,PLAYING,682,767,711,682,-1,2.0
528,PLAYING,682,771,711,682,-1,2.0
529,PLAYING,680,777,711,680,-1,3.2
530,PLAYING,669,769,711,669,-1,2.0
531,PLAYING,667,773,711,667,-1,2.2
532,PLAYING,667,777,711,667,-1,2.3
533,PLAYING,667,783,711,667,-1,2.6
534,PLAYING,665,787,711,665,-1,2.1
535,PLAYING,664,774,711,664,-1,2.5
536,PLAYING,664,778,711,664,-1,1.9
537,PLAYING,662,784,711,662,-1,2.1
538,PLAYING,662,788,711,662,-1,2.6
539,PLAYING,660,792,711,660,-1,2.1
540,PLAYING,679,780,711,679,-1,2.6
541,PLAYING,679,786,711,679,-1,3.6
542,PLAYING,677,790,711,677,-1,2.6
543,PLAYING,677,794,711,677,-1,2.5
544,PLAYING,677,798,711,677,-1,1.9
545,PLAYING,691,806,711,691,-1,3.2
546,PLAYING,691,810,711,691,-1,2.4
547,PLAYING,689,814,711,689,-1,2.6
548,PLAYING,689,818,711,689,-1,1.9
549,PLAYING,689,822,711,689,-1,2.1
550,PLAYING,696,837,711,696,-1,2.9
551,PLAYING,695,840,710,695,-1,2.2
552,PLAYING,694,841,711,694,-1,3.0
553,PLAYING,691,843,709,691,-1,3.8
554,PLAYING,692,841,709,692,-1,2.6
555,PLAYING,,,708,,0,1167.3
556,PLAYING,733,776,712,733,1,3.2
557,PLAYING,733,770,712,733,1,2.5
558,PLAYING,733,766,712,733,1,1.9
559,PLAYING,733,760,713,733,1,3.1
560,PLAYING,733,756,713,733,1,2.1
561,PLAYING,714,736,717,714,0,3.1
562,PLAYING,714,732,719,714,0,1.9
563,PLAYING,714,726,724,714,-1,2.7
564,PLAYING,714,722,724,714,-1,2.1
565,PLAYING,714,718,723,714,-1,2.7
566,PLAYING,698,716,721,698,-1,1.9
567,PLAYING,698,710,719,698,-1,3.2
568,PLAYING,698,706,715,698,-1,1.9
569,PLAYING,698,700,711,698,-1,2.0
570,PLAYING,698,696,711,698,-1,2.9
571,PLAYING,689,704,711,689,-1,3.6
572,PLAYING,689,698,711,689,-1,3.0
573,PLAYING,689,694,711,689,-1,1.9
574,PLAYING,689,690,711,689,-1,3.0
575,PLAYING,687,684,711,687,-1,2.4
576,PLAYING,687,702,711,687,-1,2.4
577,PLAYING,687,698,711,687,-1,2.2
578,PLAYING,687,692,711,687,-1,2.3
579,PLAYING,687,688,711,687,-1,1.9
580,PLAYING,687,684,710,687,-1,2.1
581,PLAYING,699,691,711,699,-1,2.0
582,PLAYING,699,685,711,699,-1,3.7
583,PLAYING,699,681,711,699,-1,2.1
584,PLAYING,699,677,712,699,-1,3.1
585,PLAYING,699,671,711,699,-1,2.1
586,PLAYING,719,665,711,719,0,2.6
587,PLAYING,719,661,711,719,0,1.9
588,PLAYING,719,655,711,719,0,2.1
589,PLAYING,719,651,711,719,0,3.1
590,PLAYING,719,645,711,719,0,2.1
591,PLAYING,730,629,711,730,1,3.6
592,PLAYING,730,625,712,730,1,2.8
593,PLAYING,730,619,713,730,1,3.5
594,PLAYING,730,615,713,730,1,3.1
595,PLAYING,730,611,717,730,1,2.0
596,PLAYING,731,590,719,731,1,2.8
597,PLAYING,731,586,723,731,1,2.1
598,PLAYING,731,580,729,731,0,2.7
599,PLAYING,731,576,733,731,0,2.0
600,PLAYING,731,570,738,731,0,2.2
601,PLAYING,712,550,740,712,-1,2.4
602,PLAYING,712,546,742,712,-1,2.2
603,PLAYING,712,540,741,712,-1,2.0
604,PLAYING,712,536,739,712,-1,3.4
605,PLAYING,695,534,737,695,-1,2.0
606,PLAYING,723,542,733,723,-1,2.8
607,PLAYING,724,547,729,724,0,2.5
608,PLAYING,722,551,725,722,0,2.1
609,PLAYING,720,553,721,720,0,2.1
610,PLAYING,717,558,719,717,0,3.1
611,PLAYING,726,574,717,726,1,3.1
612,PLAYING,726,580,717,726,1,1.9
613,PLAYING,726,584,717,726,1,2.0
614,PLAYING,726,588,719,726,0,3.4
615,PLAYING,726,592,721,726,0,3.4
